S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
1089,Chandigarh Ut,Chandigarh,Burail,76.7592,30.7101,2023,8.05,870,0,439,57,1.27,24,1,0.1,240,56,24,106,9,0.02,2.13,1.93
1090,Chandigarh Ut,Chandigarh,Imd Sector 39,76.731,30.74,2023,8.18,229,0,61,36,0.45,19,2,0,110,24,12,6,2,0.01,1.9,2.08
1091,Chandigarh Ut,Chandigarh,Maloya,76.7182,30.7519,2023,7.92,679,0,293,57,0.96,5,6,0,230,32,36,49,2,0.31,0.28,0.76
1092,Chandigarh Ut,Chandigarh,New Karsan Colony,76.7929,30.6928,2023,7.77,520,0,293,14,0.97,14,3,0,180,52,12,48,3,0.02,0.23,3.45
1093,Chandigarh Ut,Chandigarh,Sector 10C,76.794,30.755,2023,7.74,285,0,110,36,0.56,14,2,0,145,24,21,6,2,0.02,0.51,1.77
1094,Chandigarh Ut,Chandigarh,Sector 31,76.7759,30.7036,2023,7.78,700,0,354,43,0.93,19,9,0,270,24,51,52,3,0.03,0.2,6.27
1095,Chandigarh Ut,Chandigarh,Sector 39-D,76.728,30.743,2023,7.57,621,0,281,43,0.92,10,18,0,270,40,41,25,1,0.3,0.14,8.41
1096,Chandigarh Ut,Chandigarh,Sector-46,76.769,30.703,2023,8.25,270,0,122,21,0.5,10,3,0,130,28,15,6,2,0.01,1.76,2.3
2700,Jammu & Kashmir,Reasi,Aliyah,74.553,33.165,2023,7.35,720,0,522,7,0.22,12,7,0.22,424,146,15,7,1,-0.04,0.23,1.15
2701,Jammu & Kashmir,Reasi,Bhambla,74.5771,33.0519,2023,7.1,1230,0,638,99,0.28,54,6,0,556,194,17,88,2,-0.03,0.42,4.39
2702,Jammu & Kashmir,Reasi,Dadua,74.6397,33.0716,2023,7.42,690,0,443,20,0.2,16,8,0,379,128,15,13,1,-0.04,0.15,1.6
2703,Jammu & Kashmir,Reasi,Garan Jagir,74.6489,33.0709,2023,7.44,750,0,510,12,0.29,17,7,0,404,132,18,20,1,-0.04,0.14,3.68
2704,Jammu & Kashmir,Reasi,Nanora,74.6311,33.1281,2023,7.38,720,0,504,12,0.22,20,0,0,399,119,24,15,8,-0.04,0.65,1.9
2705,Jammu & Kashmir,Baramulla,Binner,74.3553,34.2319,2023,7.46,520,0,331,7,0.18,9,5,0,246,60,23,20,1,0.44,5.76,0.01
2706,Jammu & Kashmir,Baramulla,Jambazpora,74.3633,34.2192,2023,7.33,687,0,397,25,0.41,15,4,0,307,91,18,31,1,-0.01,0.83,0.51
2707,Jammu & Kashmir,Baramulla,Uplna,74.3975,34.2008,2023,7.31,1290,0,546,65,0.34,51,139,0,569,185,27,55,14,-0.02,0.54,1.79
2708,Jammu & Kashmir,Baramulla,Lolipora,74.5364,34.2164,2023,7.06,1655,0,419,274,0.33,126,25,0,663,199,41,109,5,-0.01,0.41,4.07
2709,Jammu & Kashmir,Baramulla,Hadipora,74.3908,34.2914,2023,6.75,826,0,196,112,0.16,48,37,0,318,96,19,43,2,-0.02,0.56,0.25
2710,Jammu & Kashmir,Baramulla,Mazbugh,74.4294,34.2781,2023,7.02,863,0,510,35,0.18,20,6,0,420,127,26,33,3,0.01,1.65,2.05
2711,Jammu & Kashmir,Baramulla,Said Pora,74.4631,34.3211,2023,7.03,468,0,231,28,0.1,19,4,0,220,64,15,13,1,-0.02,0.16,0.28
2712,Jammu & Kashmir,Baramulla,Bomai,74.4213,34.3564,2023,6.78,594,0,395,8,0.22,4,3,0,285,81,21,18,4,25.28,51.37,0.23
2713,Jammu & Kashmir,Baramulla,Badran,74.5764,34.0931,2023,7.13,346,0,210,8,0.16,9,3,0,171,54,9,8,1,1.84,0.13,0.17
2714,Jammu & Kashmir,Baramulla,Waripora,74.5611,34.0906,2023,7.6,652,0,389,28,0.36,11,3,0,322,112,11,15,2,6.59,0.39,1.12
2715,Jammu & Kashmir,Handwara,Hampora,74.3272,34.3564,2023,7.18,612,0,425,5,0.12,5,6,0.84,312,91,22,19,1,-0.03,6.87,0.01
2716,Jammu & Kashmir,Jammu,Chowki Chora,74.6515,33.0224,2023,7.27,490,0,261,20,0.23,39,6,0.37,222,75,9,21,10,-0.04,2.55,1.29
2717,Jammu & Kashmir,Jammu,Gura (Akhnoor),74.708,32.8813,2023,7.13,1340,0,777,82,0.45,20,5,2.11,627,146,65,51,16,0.12,1.04,0.11
2718,Jammu & Kashmir,Jammu,Jourian,74.577,32.8331,2023,7.36,810,0,376,35,0.22,49,62,0,418,140,17,21,6,-0.01,0.2,1.74
2719,Jammu & Kashmir,Jammu,Leherian,74.6885,32.8693,2023,7.12,630,0,401,8,0.25,22,4,0,340,94,26,8,3,-0.02,2.49,0.78
2720,Jammu & Kashmir,Jammu,Tanda Sheeda,74.6988,32.9722,2023,7.12,500,0,340,7,0.17,9,8,0,283,81,19,6,2,-0.03,0.15,0.87
2721,Jammu & Kashmir,Jammu,Arnia Ii,74.7986,32.5203,2023,7.08,920,0,454,38,0.31,71,55,0,452,146,21,42,18,2.63,0.24,4.56
2722,Jammu & Kashmir,Jammu,Batera,74.7464,32.8485,2023,7.16,580,0,339,10,0.21,37,3,0,323,90,24,6,2,-0.01,0.63,0.86
2723,Jammu & Kashmir,Jammu,Dharam Khu,74.7633,32.86,2023,7.18,610,0,388,7,0.27,20,8,0,338,106,18,5,3,-0.03,0.48,1.02
2724,Jammu & Kashmir,Jammu,Garhi (Jammu),74.7656,32.7907,2023,7.07,1080,0,598,44,0.43,57,34,0,567,166,38,38,3,0.03,0.36,2.42
2725,Jammu & Kashmir,Jammu,Kangar,74.846,32.8401,2023,7.27,580,0,376,8,0.27,7,19,0,300,96,15,14,1,-0.01,0.19,0.37
2726,Jammu & Kashmir,Jammu,Khairi (Raipur),74.8575,32.8076,2023,6.58,590,0,296,18,0.46,27,25,0,290,86,18,14,1,-0.03,0.29,0.2
2727,Jammu & Kashmir,Jammu,Lower Barnai,74.7921,32.7626,2023,7.25,630,0,376,13,0,26,3,0.59,285,80,21,9,37,0.08,6.44,0.19
2728,Jammu & Kashmir,Jammu,Muthi,74.7997,32.7505,2023,6.86,760,0,364,43,0.28,77,3,0,365,88,35,31,2,-0.04,0.32,0.95
2729,Jammu & Kashmir,Jammu,Pata Khu,74.7716,32.84,2023,7.14,640,0,429,8,0.26,20,0,0,357,110,19,8,3,-0.04,0.43,1.19
2730,Jammu & Kashmir,Jammu,Shama Chak,74.7419,32.8282,2023,7.21,700,0,392,15,0.29,35,26,0,352,96,27,19,12,-0.04,0.41,1.56
2731,Jammu & Kashmir,Jammu,Sumah,74.6702,32.9573,2023,7.09,640,0,417,13,0.37,12,3,0,357,120,13,9,2,0.54,0.17,0.14
2732,Jammu & Kashmir,Jammu,Bhagwana Chak,74.5695,32.8561,2023,7.24,420,0,271,7,0.24,7,3,0,199,66,9,17,1,-0.03,0.19,0.57
2733,Jammu & Kashmir,Jammu,Devipura,74.6506,32.8556,2023,7.69,510,0,314,5,0.2,24,9,0,289,82,21,4,1,0.14,0.09,1.27
2734,Jammu & Kashmir,Jammu,Taryai,74.6134,32.8696,2023,6.81,410,0,245,13,0.22,9,14,0,201,64,10,16,1,-0.03,0.09,0.53
2735,Jammu & Kashmir,Jammu,Allah,74.8367,32.5175,2023,7.28,1910,0,895,118,0.41,171,94,1,608,150,56,111,248,-0.04,1.16,3.31
2736,Jammu & Kashmir,Jammu,Bishnah,74.857,32.608,2023,7.67,1650,0,791,86,1.3,83,42,0,352,70,43,82,315,0.01,0.48,4.57
2737,Jammu & Kashmir,Jammu,Khairi (Bishnah),74.9064,32.5853,2023,7.22,760,0,480,12,0.34,14,7,0,350,82,35,39,3,-0.03,0.5,7.93
2738,Jammu & Kashmir,Jammu,Kothey Saini,74.8817,32.5772,2023,6.98,860,0,419,37,0.49,44,43,0,385,104,30,48,3,-0.03,0.15,2.02
2739,Jammu & Kashmir,Jammu,Kotli Charkan,74.8342,32.6156,2023,7.31,970,0,497,68,0.61,77,5,0,508,124,47,34,18,0.11,0.24,1.09
2740,Jammu & Kashmir,Jammu,Laswara,74.8369,32.585,2023,7.51,510,0,276,20,0.27,45,6,0,271,90,11,15,3,-0.04,0.38,1.22
2741,Jammu & Kashmir,Jammu,Palli,74.8886,32.6269,2023,7.05,960,0,510,42,0.92,50,9,0,440,98,47,54,2,0.03,0.28,8.18
2742,Jammu & Kashmir,Jammu,Poal Ii,74.82,32.51,2023,7.55,500,0,362,5,0.45,6,4,0,201,47,21,50,2,-0.04,0.26,5.67
2743,Jammu & Kashmir,Jammu,Rehal,74.8761,32.5614,2023,7.39,600,0,376,7,0.47,17,3,0,265,54,32,35,2,-0.01,0.41,5.89
2744,Jammu & Kashmir,Jammu,Salehar Ii,74.8181,32.5603,2023,7.55,900,0,509,38,0.32,59,0,0.72,355,84,35,34,96,0.25,1.83,0.9
2745,Jammu & Kashmir,Jammu,Majua Laxmi,74.918,32.5552,2023,7.84,680,0,352,30,0.34,23,25,0,337,80,33,19,3,-0.03,0.3,3.53
2746,Jammu & Kashmir,Jammu,Upralakanhal,74.8833,32.6333,2023,8.04,600,0,350,18,0.62,25,17,0,186,46,17,79,1,-0.03,0.66,2.06
2747,Jammu & Kashmir,Jammu,Kot Kaswal,75.1083,32.7989,2023,6.81,760,0,468,20,0.27,27,16,0,415,138,17,18,1,-0.03,0.14,2.77
2748,Jammu & Kashmir,Jammu,Kunihala,75.0333,32.8372,2023,7.14,760,0,392,45,0.3,46,3,0,325,102,17,46,2,-0.01,1.36,2.69
2749,Jammu & Kashmir,Jammu,Sidhra,74.8947,32.7597,2023,7.03,1000,0,462,37,0.26,60,79,0,510,146,35,27,2,0.02,0.46,0.74
2750,Jammu & Kashmir,Jammu,Badsoo,75.0186,32.8525,2023,7.06,550,0,300,15,0.31,23,21,0,270,92,10,14,2,-0.02,0.38,3.5
2751,Jammu & Kashmir,Jammu,Greater Kailash,74.9305,32.6861,2023,7.07,740,0,400,23,0.26,25,33,0,387,135,12,16,1,-0.01,0.45,0.65
2752,Jammu & Kashmir,Jammu,Kah Pahuta,75.0417,32.8344,2023,6.9,640,0,325,32,0.24,29,15,0,305,96,16,25,1,-0.03,0.16,2.37
2753,Jammu & Kashmir,Jammu,Kaluchak,74.892,32.657,2023,7.07,530,0,325,10,0.27,9,14,0,261,79,16,17,2,-0.03,0.16,1.02
2754,Jammu & Kashmir,Jammu,Katcha Pind (Dansal),74.9953,32.8656,2023,6.9,890,0,497,37,0.37,45,5,0,450,140,24,34,2,-0.03,0.32,1.94
2755,Jammu & Kashmir,Jammu,Rangoora,74.8964,32.7506,2023,7.12,700,0,351,17,0.21,28,36,0,345,100,23,13,2,-0.02,0.48,0.7
2756,Jammu & Kashmir,Jammu,Surinsar,75.0431,32.7672,2023,7.68,940,0,598,22,0.49,45,7,0,440,74,62,68,6,-0.04,5.68,17.81
2757,Jammu & Kashmir,Jammu,Trikuta Nagar,74.88,32.7116,2023,7.12,770,0,376,32,0.35,29,43,0,360,110,21,29,6,-0.01,0.19,3.07
2758,Jammu & Kashmir,Jammu,Bakore,74.562,32.8062,2023,7.21,470,0,284,10,0.29,24,3,0,259,86,11,8,1,5.11,4.43,0.03
2759,Jammu & Kashmir,Jammu,Dhanpur,74.5402,32.8026,2023,7.57,610,0,376,7,0.13,30,13,0,348,122,11,8,1,0.96,0.08,5.89
2760,Jammu & Kashmir,Jammu,Gigrial,74.4818,32.7961,2023,7.25,1270,0,585,54,0.27,90,54,0,478,148,27,42,114,-0.04,2.58,4.68
2761,Jammu & Kashmir,Jammu,Hamirpur Sidhar,74.5256,32.7765,2023,7.2,1650,0,610,87,0.28,176,181,0,756,227,46,83,37,-0.04,0.63,10.5
2762,Jammu & Kashmir,Jammu,Kachrial,74.4385,32.8657,2023,7.36,600,0,376,10,0.22,21,3,0,313,110,10,6,22,-0.03,0.54,0.98
2763,Jammu & Kashmir,Jammu,Khour,74.5173,32.8294,2023,7.08,720,0,413,10,0.14,33,22,0,390,140,10,11,1,0.8,0.26,3.93
2764,Jammu & Kashmir,Jammu,Palatan,74.4486,32.837,2023,7.49,560,0,313,10,0.16,34,8,0,286,96,11,13,1,1.28,0.2,1.55
2765,Jammu & Kashmir,Jammu,Pangli Colony,74.5213,32.789,2023,7.48,530,0,350,8,0.24,12,3,0,283,100,7,6,8,0.06,1.02,1.05
2766,Jammu & Kashmir,Jammu,Senth,74.5099,32.7765,2023,7.84,1260,0,638,53,0,125,5,0.43,432,110,38,69,129,-0.01,7.45,0.94
2767,Jammu & Kashmir,Jammu,Gajansoo,74.7107,32.761,2023,7.16,810,0,456,30,0.39,46,5,0,398,116,27,34,5,0.07,4.83,2.34
2768,Jammu & Kashmir,Jammu,Gho Manhasan (Talab Tillo),74.7396,32.7229,2023,7.21,990,0,555,47,0.48,52,5,0,507,126,47,39,2,0.34,0.36,11.12
2769,Jammu & Kashmir,Jammu,Jhiri,74.733,32.8255,2023,7.3,540,0,327,10,0.2,27,10,0,294,82,22,8,5,-0.04,0.69,1.2
2770,Jammu & Kashmir,Jammu,Marh,74.7457,32.7764,2023,6.88,910,0,456,45,0.35,74,10,0,475,132,35,28,3,-0.03,0.14,3.03
2771,Jammu & Kashmir,Jammu,Nagbani,74.7628,32.762,2023,7.51,1090,0,530,30,0.99,137,32,0,450,100,49,97,10,-0.03,3.07,7.51
2772,Jammu & Kashmir,Jammu,Patyale Chak,74.776,32.7625,2023,7.49,950,0,601,25,1.06,51,5,0,427,80,55,78,3,0.01,1.89,3.1
2773,Jammu & Kashmir,Jammu,Miran Sahib,74.7947,32.6458,2023,7.45,820,0,478,30,0.35,43,47,0,447,130,29,39,2,-0.04,0.19,0.5
2774,Jammu & Kashmir,Jammu,Khanpur (Nagrota),74.8922,32.7906,2023,7.3,620,0,401,7,0.16,6,3,0,260,72,19,38,3,-0.03,0.98,1.82
2775,Jammu & Kashmir,Jammu,Nagrota,74.9207,32.804,2023,6.87,800,0,431,30,0.26,44,27,0,400,136,15,30,4,-0.03,0.51,2.71
2776,Jammu & Kashmir,Jammu,Jagati,74.8958,32.8056,2023,6.94,430,0,265,10,0.23,17,3,0,240,78,11,7,2,-0.03,0.19,5.32
2777,Jammu & Kashmir,Jammu,Sugetar,74.9583,32.8792,2023,6.94,680,0,413,22,0.34,20,5,0,295,98,12,49,2,-0.03,0.24,3.35
2778,Jammu & Kashmir,Jammu,Upper Ban,74.9383,32.8292,2023,6.6,230,0,148,5,0.24,8,3,0.22,125,44,4,4,1,-0.02,1.32,0.05
2779,Jammu & Kashmir,Jammu,Hamirpur Kohna,74.5497,32.7667,2023,7.3,970,0,505,20,0.34,66,55,0,478,140,32,17,43,1.06,2.09,15
2780,Jammu & Kashmir,Jammu,Sajwal,74.593,32.7923,2023,7.39,650,0,405,5,0.46,46,0,0,357,102,24,9,9,2.08,1.57,3.12
2781,Jammu & Kashmir,Jammu,Lalyal,74.7739,32.6644,2023,7.21,770,0,509,15,0.27,28,4,0,397,90,11,20,25,-0.04,0.21,2.3
2782,Jammu & Kashmir,Jammu,Makwal,74.7169,32.6933,2023,7.6,1330,0,638,76,0.33,215,0,0,648,142,71,87,42,-0.03,4.13,1.52
2783,Jammu & Kashmir,Jammu,Sohanjana,74.7431,32.6972,2023,7.33,1040,0,601,43,0.25,64,10,0,497,146,32,32,63,0.32,1.41,2.84
2784,Jammu & Kashmir,Jammu,Agre Chak,74.7158,32.6225,2023,7.37,690,0,350,28,0.37,56,16,0,347,102,21,25,2,-0.02,0.57,2.28
2785,Jammu & Kashmir,Jammu,Bega,74.6681,32.6147,2023,7.29,550,0,350,8,0.5,31,11,0,312,98,16,8,1,0.48,0.18,1.12
2786,Jammu & Kashmir,Jammu,Bera,74.677,32.619,2023,7.51,530,0,337,8,0.59,27,3,0,281,72,24,18,2,1.02,0.13,2.67
2787,Jammu & Kashmir,Jammu,Nikowal,74.7056,32.5083,2023,7.7,970,0,613,45,0.56,33,9,0,422,72,58,93,4,-0.01,0.39,18.77
2788,Jammu & Kashmir,Jammu,Sei Khurd,74.7247,32.5075,2023,7.39,1050,0,598,49,0.45,60,76,0,467,134,32,78,21,-0.03,0.34,6.58
2789,Jammu & Kashmir,Jammu,Kalah,74.4484,32.9207,2023,7.27,910,0,505,40,0.63,44,54,0,443,138,27,48,2,0,0.55,4.5
2790,Jammu & Kashmir,Jammu,Baradow,74.4251,32.9093,2023,7.37,730,0,450,7,0.24,16,30,0,418,152,10,9,1,-0.01,0.13,0.96
2791,Jammu & Kashmir,Jammu,Jogwan,74.4418,32.9325,2023,7.17,690,0,401,12,0.28,20,32,0,378,134,11,10,1,-0.02,0.18,1.26
2792,Jammu & Kashmir,Jammu,Chatta,74.9344,32.693,2023,6.92,510,0,313,10,0.33,15,3,0,271,97,7,10,2,-0.03,0.43,0.95
2793,Jammu & Kashmir,Jammu,Satwari,74.8458,32.6889,2023,7.46,870,0,468,32,0.2,35,45,0,460,128,34,28,2,-0.04,0.17,1.84
2794,Jammu & Kashmir,Jammu,Suchetgarh Ii,74.6756,32.5675,2023,7.69,1180,0,754,38,1.21,61,5,0,492,68,78,127,4,-0.04,2.68,9.14
2795,Jammu & Kashmir,Kathua,Bhagwal,75.3667,32.45,2023,6.84,360,0,224,8,0.25,11,3,0,185,58,10,11,2,0.06,0.11,0.39
2796,Jammu & Kashmir,Kathua,Patiari,75.4417,32.3958,2023,6.7,300,0,142,8,0.21,21,10,0,145,48,6,7,1,0.59,0.07,0.06
2797,Jammu & Kashmir,Kathua,Billawar,75.6083,32.6131,2023,7,870,0,505,40,0.32,30,5,0.48,415,142,15,41,15,-0.03,2.6,1.32
2798,Jammu & Kashmir,Kathua,Lakri,75.4153,32.6561,2023,7.01,710,0,388,35,0.2,26,3,0,330,106,16,32,7,-0.01,0.41,2.28
2799,Jammu & Kashmir,Kathua,Mandli,75.5083,32.6356,2023,6.86,730,0,431,22,0.29,28,3,0,335,104,18,36,11,-0.03,0.43,2.09
2800,Jammu & Kashmir,Kathua,Nagrota?Gujroo,75.3939,32.6464,2023,6.82,1000,0,456,77,0.29,47,29,0,395,126,19,77,9,-0.02,0.29,1.21
2801,Jammu & Kashmir,Kathua,Pallan,75.5658,32.5564,2023,6.32,340,0,185,15,0.17,19,3,0,165,52,9,13,1,-0.03,0.15,0.19
2802,Jammu & Kashmir,Kathua,Phinter,75.5444,32.5828,2023,6.24,440,0,197,30,0.2,21,13,0,205,64,11,16,3,-0.03,0.19,0.22
2803,Jammu & Kashmir,Kathua,Ramkot,75.3361,32.6417,2023,6.86,790,0,505,15,0.24,17,3,0,405,126,22,22,7,-0.03,0.79,2.61
2804,Jammu & Kashmir,Kathua,Lokli,75.2733,32.5442,2023,6.65,280,0,156,8,0.17,13,12,0,145,50,5,4,1,-0.03,0.19,0.03
2805,Jammu & Kashmir,Kathua,Nauni,75.3019,32.5581,2023,6.9,640,0,392,15,0.28,22,6,0,345,114,15,13,2,-0.03,0.23,3.18
2806,Jammu & Kashmir,Kathua,Patyari Ii,75.265,32.547,2023,7.22,770,0,467,25,0.27,22,3,0,395,130,17,20,2,-0.02,1.23,2.09
2807,Jammu & Kashmir,Kathua,Saida,75.293,32.551,2023,6.92,450,0,261,10,0.25,19,6,0,240,82,9,8,3,-0.03,0.43,1.07
2808,Jammu & Kashmir,Kathua,Chakara,75.259,32.418,2023,7.33,300,0,194,5,0.25,7,3,0,145,48,6,15,1,-0.04,0,0
2809,Jammu & Kashmir,Kathua,Chakhariya,75.3667,32.3889,2023,7.14,580,0,375,10,0.16,13,11,0,322,115,9,14,5,0.05,0.16,1.26
2810,Jammu & Kashmir,Kathua,Chan Khatrian,75.2458,32.4875,2023,7.05,370,0,205,10,0.18,12,12,0,185,62,7,12,2,-0.01,0.2,0.86
2811,Jammu & Kashmir,Kathua,Chanranga,75.3306,32.4833,2023,7.06,370,0,218,8,0.15,12,4,0,160,52,7,17,1,1.04,0.05,0.16
2812,Jammu & Kashmir,Kathua,Chapki Kalan,75.3147,32.4472,2023,6.54,270,0,166,5,0.2,11,9,0,140,46,6,9,1,-0.03,0.21,0.2
2813,Jammu & Kashmir,Kathua,Dulme Chak,75.1833,32.4333,2023,7.16,510,0,336,5,0.26,7,3,0.22,260,74,18,19,2,0.05,0.22,2.05
2814,Jammu & Kashmir,Kathua,Feruchak,75.274,32.468,2023,7.04,580,0,367,13,0.32,16,3,0,300,100,12,17,2,-0.01,0.23,1.77
2815,Jammu & Kashmir,Kathua,Jandi (New),75.2458,32.4625,2023,7.3,910,0,417,43,0.31,44,87,0,420,140,17,51,2,1.02,0.08,0.97
2816,Jammu & Kashmir,Kathua,Khanpur,75.3561,32.425,2023,6.93,310,0,166,7,0.26,13,3,0,145,44,9,11,1,-0.02,0.16,0.64
2817,Jammu & Kashmir,Kathua,Konthal,75.2603,32.4236,2023,7,320,0,197,5,0.24,7,4,0,150,50,6,14,1,0.02,0.36,0.86
2818,Jammu & Kashmir,Kathua,Kootah,75.2417,32.5114,2023,6.28,510,0,185,27,0.21,23,77,0,235,70,14,18,5,-0.02,0.27,0.1
2819,Jammu & Kashmir,Kathua,Lale Chak,75.1978,32.4542,2023,7.21,420,0,274,5,0.3,8,6,0,220,70,11,13,1,0.06,0.16,1.25
2820,Jammu & Kashmir,Kathua,Londi,75.2125,32.425,2023,7.25,480,0,299,13,0.24,9,14,0,245,72,16,15,2,-0.02,0.22,1.48
2821,Jammu & Kashmir,Kathua,Nilcha,75.2542,32.5597,2023,7.09,320,0,201,8,0.29,7,3,0,175,56,9,7,1,-0.04,0.15,0.44
2822,Jammu & Kashmir,Kathua,Phalora,75.1342,32.4778,2023,7.7,990,0,567,45,0.61,40,12,0,390,116,24,92,2,-0.03,0.17,3.33
2823,Jammu & Kashmir,Kathua,Barni,75.656,32.402,2023,6.9,350,0,219,7,0.31,11,3,0,181,52,12,12,1,-0.02,0.29,0.24
2824,Jammu & Kashmir,Kathua,Kathua,75.5292,32.3639,2023,6.56,450,0,210,25,0.19,28,5,0,150,46,9,42,6,1.37,0.87,0.08
2825,Jammu & Kashmir,Kathua,Kothian,75.5083,32.3667,2023,6.38,370,0,138,15,0.22,36,33,0,161,48,10,14,2,1.81,0.06,0.03
2826,Jammu & Kashmir,Kathua,Lakhanpur Fort,75.6,32.381,2023,6.51,310,0,156,15,0.28,26,5,0,151,48,7,12,5,0.21,0.47,0.06
2827,Jammu & Kashmir,Kathua,Mukandpur,75.3689,32.3694,2023,7.24,410,0,275,7,0.18,11,7,0,226,81,6,11,2,-0.03,0.23,0.75
2828,Jammu & Kashmir,Kathua,Nanke Chak (Sherpur),75.468,32.381,2023,6.83,190,0,105,8,0.12,16,3,0,90,29,4,8,1,5.78,0.04,0.11
2829,Jammu & Kashmir,Kathua,Jindor,75.597,32.392,2023,6.62,420,0,231,15,0.34,20,3,0,191,60,10,21,4,0.02,1.75,0.24
2830,Jammu & Kashmir,Kathua,Gangu Chak,75.2628,32.4014,2023,7.42,1480,0,783,87,0.64,90,13,0,610,156,54,126,16,-0.03,0.96,1.9
2831,Jammu & Kashmir,Kathua,Karol Krishna,75.2361,32.3958,2023,7.37,880,0,530,35,0.4,21,11,0,295,76,26,99,3,-0.03,0.43,5.36
2832,Jammu & Kashmir,Kathua,Kotepanu,75.3758,32.3458,2023,7.2,520,0,338,7,0.25,19,3,0,281,99,9,15,3,1.61,2.25,0.81
2833,Jammu & Kashmir,Kathua,Khukhial,75.4667,32.35,2023,6.96,800,0,431,35,0.26,41,5,0.43,347,101,23,28,46,0.5,3.75,0.95
2834,Jammu & Kashmir,Kathua,Nagri,75.4333,32.35,2023,7.05,490,0,288,12,0.28,29,3,0,251,81,12,17,3,4.17,4.83,0.15
2835,Jammu & Kashmir,Kathua,Sumwan,75.42,32.394,2023,7.24,530,0,314,8,0.27,18,9,0,280,100,7,10,3,-0.02,0.16,1.35
2836,Jammu & Kashmir,Kupwara,Kunel,74.2853,34.3322,2023,7.34,342,0,203,5,0.21,8,3,0,158,48,10,10,1,-0.03,0.11,0.03
2837,Jammu & Kashmir,Kupwara,Drugmulla,74.2869,34.5056,2023,7.15,496,0,264,17,0.11,15,13,0,231,77,9,14,2,-0.02,0.32,0.27
2838,Jammu & Kashmir,Kupwara,Halmathpora (Chota Mohalla),74.2364,34.5708,2023,6.9,332,0,193,13,0.24,6,3,0,153,50,7,11,1,0,0.89,0.23
2839,Jammu & Kashmir,Kupwara,Khanpora,74.2731,34.4386,2023,7.35,368,0,227,5,0.26,7,6,0,184,56,11,8,1,0.03,0.2,1.57
2840,Jammu & Kashmir,Kupwara,Panipora (Sagipora),74.3644,34.4122,2023,6.88,284,0,166,5,0.15,5,5,0,134,42,7,9,1,0.01,0.57,0.42
2841,Jammu & Kashmir,Kupwara,Mir Mohalla (Katyan Wali),74.3847,34.5444,2023,7.3,244,0,151,5,0.25,4,3,0,119,36,7,10,0,5.07,0.03,0.02
2842,Jammu & Kashmir,Kupwara,Palpora,74.3577,34.3411,2023,7.05,376,0,191,15,0.2,12,5,0,168,52,10,13,2,-0.01,2.3,0.34
2843,Jammu & Kashmir,Kupwara,Batpora Bala,74.0889,34.4944,2023,6.56,207,0,104,10,0.1,13,6,0,85,26,5,13,1,-0.02,0.29,0.04
2844,Jammu & Kashmir,Kupwara,Panzgam,74.0771,34.4834,2023,6.77,393,0,214,13,0.21,18,3,0,174,50,12,14,5,-0.02,0.33,0.14
2845,Jammu & Kashmir,Kupwara,Wasar Khoto,74.1061,34.5064,2023,6.74,274,0,140,15,0.09,8,4,0,129,42,6,10,2,-0.02,0.29,0.04
2846,Jammu & Kashmir,Kupwara,Guloora,74.3158,34.3875,2023,6.98,227,0,114,5,0.26,5,11,0,101,32,5,8,1,4.42,1.78,0
2847,Jammu & Kashmir,Kupwara,Magam,74.2328,34.4608,2023,7.24,367,0,233,5,0.17,5,3,0.8,169,48,12,17,0,0.48,20.03,0.02
2848,Jammu & Kashmir,Kupwara,Radbug,74.3025,34.4606,2023,7.07,1030,0,397,112,0.2,39,9,0,437,129,27,50,3,-0.02,0.4,0.13
2849,Jammu & Kashmir,Kupwara,Tarich,74.3256,34.4356,2023,6.9,319,0,168,15,0.13,10,4,0.69,136,42,7,12,4,-0.02,0.35,0.04
2850,Jammu & Kashmir,Kupwara,Chanjmul,74.1822,34.3917,2023,6.68,272,0,132,10,0.13,9,11,0,129,38,9,6,0,-0.04,0.09,0.03
2851,Jammu & Kashmir,Kupwara,Cherkut,74.3264,34.5444,2023,6.81,329,0,181,13,0.17,10,3,0,134,38,10,16,6,0.02,1.14,0.04
2852,Jammu & Kashmir,Kupwara,Lassipora,74.3831,34.5081,2023,6.42,427,0,139,33,0.08,16,53,1.29,144,42,10,30,3,0,1.98,0.01
2853,Jammu & Kashmir,Kupwara,Dohama,74.1475,34.4881,2023,7.04,634,0,257,43,0.21,33,24,0,282,77,23,18,1,-0.04,0.72,0.1
2854,Jammu & Kashmir,Kupwara,Gulgam,74.2194,34.5369,2023,6.96,789,0,308,55,0.22,31,54,0,287,82,21,45,11,-0.02,0.35,0.14
2855,Jammu & Kashmir,Kupwara,Trehgam,74.1753,34.5167,2023,6.96,855,0,488,33,0.18,34,13,0,363,108,23,59,1,-0.02,0.14,2.46
2856,Jammu & Kashmir,Kupwara,Wadipora,74.2333,34.4097,2023,6.91,582,0,267,28,0.14,18,36,0,265,79,17,19,0,-0.02,0.2,0.29
2857,Jammu & Kashmir,Mahreen,Hore,75.291,32.423,2023,6.94,280,0,166,5,0.21,9,6,0,145,50,5,9,1,-0.03,0.59,0.44
